city,latitude,longitude
Minsk,53.90,27.56
Guangzhou,22.87,113.45
Tokyo,35.6762,139.6503
New York,40.7128,-74.0060
Paris,48.8566,2.3522
Moscow,55.7558,37.6176
Rome,41.9028,12.4964
Madrid,40.4168,-3.7038
Toronto,43.6532,-79.3832
Sydney,-33.8688,151.2093
Los Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Dubai,25.2048,55.2708
Singapore,1.3521,103.8198
Hong Kong,22.3193,114.1694
Seoul,37.5665,126.9780
Bangkok,13.7563,100.5018
Johannesburg,-26.2041,28.0473
Rio de Janeiro,-22.9068,-43.1729
Mexico City,19.4326,-99.1332
